Date,App,Ad_Group,State,Revenue,Ad_Requests,Ad_Responses,Fill_Rate,Impressions,Render_Rate,1st_Clicks,2nd_Clicks
12-09-2020,Callbreak Multiplayer,Gujrati_GL,Uttar Pradesh,0,3638806,13,100,10,76.92,0,0
11-09-2020,Callbreak Multiplayer,Rooter_All apps,Uttar Pradesh,0,3538173,15,100,14,93.3,0,0
11-09-2020,Callbreak Multiplayer,Rooter_Callbreak,Uttar Pradesh,0.26,3538173,95724,100,88795,92.8,515,514
11-09-2020,Callbreak Multiplayer,Dhani Backfill,Uttar Pradesh,0,3538173,7,100,6,85.71,0,0
11-09-2020,Callbreak Multiplayer,Callbreak Multiplayer2_Admob_L,Uttar Pradesh,0,3538173,6,100,3,50,0,0
11-09-2020,Callbreak Multiplayer,Callbreak Multiplayer2_Inmobi_No Floor,Uttar Pradesh,1.26,3538173,16460,100,13355,81.14,370,141
11-09-2020,Callbreak Multiplayer,Dream11_NonCore,Uttar Pradesh,6.71,3538173,1975908,100,1835152,92.9,11245,2811
11-09-2020,Callbreak Multiplayer,MY11Circle_IN_SG_1500,Uttar Pradesh,1.32,3538173,646456,100,570059,88.18,8803,2851
11-09-2020,Callbreak Multiplayer,IPL banner,Uttar Pradesh,3.96,3538173,646649,100,572810,88.58,9026,2910
11-09-2020,Callbreak Multiplayer,11wickets_CPR,Uttar Pradesh,0,3538173,156936,100,139721,89.03,1071,314
11-09-2020,Callbreak Multiplayer,RC_MH_Stock_Marathi,Uttar Pradesh,0,3538173,15,100,13,86.67,0,0
11-09-2020,Callbreak Multiplayer,RC_MH_English,Uttar Pradesh,0,3538173,17,100,13,76.47,0,0
11-09-2020,Callbreak Multiplayer,non stop fun,Uttar Pradesh,0,3538173,14,100,11,78.57,0,0
11-09-2020,Callbreak Multiplayer,Logo without name,Uttar Pradesh,0,3538173,11,100,8,72.73,0,0
11-09-2020,Callbreak Multiplayer,logo with name,Uttar Pradesh,0,3538173,17,100,12,70.59,0,0
11-09-2020,Callbreak Multiplayer,RC_KA_Stock_English,Uttar Pradesh,0,3538173,4,100,3,75,0,0
